排名,国家,开发者数量,占比
1,美国,69872,23.59%
2,中国,33204,11.21%
3,德国,25159,8.49%
4,英国,17090,5.77%
5,法国,13171,4.45%
6,印度,13107,4.43%
7,加拿大,11490,3.88%
8,日本,7044,2.38%
9,荷兰,7035,2.38%
10,巴西,6789,2.29%
11,澳大利亚,6715,2.27%
12,瑞士,4997,1.69%
13,波兰,4853,1.64%
14,瑞典,4729,1.60%
15,西班牙,4503,1.52%
16,意大利,4358,1.47%
17,俄罗斯,4318,1.46%
18,韩国,2743,0.93%
19,乌克兰,2513,0.85%
20,奥地利,2469,0.83%
21,挪威,2378,0.80%
22,丹麦,2304,0.78%
23,捷克,2235,0.75%
24,比利时,2079,0.70%
25,芬兰,2075,0.70%
26,新加坡,2007,0.68%
27,葡萄牙,1893,0.64%
28,印度尼西亚,1828,0.62%
29,土耳其,1661,0.56%
30,越南,1571,0.53%
31,新西兰,1535,0.52%
32,以色列,1505,0.51%
33,阿根廷,1354,0.46%
34,中国台湾,1290,0.44%
35,尼日利亚,1111,0.38%
36,爱尔兰,1098,0.37%
37,罗马尼亚,1054,0.36%
38,匈牙利,907,0.31%
39,南非,801,0.27%
40,墨西哥,772,0.26%
41,希腊,767,0.26%
42,泰国,761,0.26%
43,伊朗,757,0.26%
44,巴基斯坦,694,0.23%
45,哥伦比亚,689,0.23%
46,菲律宾,681,0.23%
47,塞尔维亚,668,0.23%
48,保加利亚,630,0.21%
49,阿拉伯联合酋长国,603,0.20%
50,孟加拉国,592,0.20%
51,爱沙尼亚,571,0.19%
52,埃及,552,0.19%
53,智利,536,0.18%
54,马来西亚,502,0.17%
55,肯尼亚,485,0.16%
56,立陶宛,483,0.16%
57,斯洛伐克,445,0.15%
58,尼泊尔,443,0.15%
59,克罗地亚,411,0.14%
60,格鲁吉亚,386,0.13%
61,斯洛文尼亚,375,0.13%
62,拉脱维亚,308,0.10%
63,哈萨克斯坦,272,0.09%
64,白俄罗斯,261,0.09%
65,哥斯达黎加,245,0.08%
66,秘鲁,242,0.08%
67,香港,240,0.08%
68,塞浦路斯,240,0.08%
69,乌拉圭,236,0.08%
70,摩洛哥,234,0.08%
71,斯里兰卡,230,0.08%
72,亚美尼亚,221,0.07%
73,冰岛,215,0.07%
74,沙特阿拉伯,192,0.06%
75,埃塞俄比亚,190,0.06%
76,阿尔及利亚,183,0.06%
77,卢森堡,177,0.06%
78,突尼斯,177,0.06%
79,委内瑞拉,148,0.05%
80,乌兹别克斯坦,126,0.04%
81,摩尔多瓦,124,0.04%
82,厄瓜多尔,124,0.04%
83,马耳他,116,0.04%
84,加纳,101,0.03%
85,乌干达,99,0.03%
86,黑山,86,0.03%
87,喀麦隆,82,0.03%
88,阿塞拜疆,78,0.03%
89,波斯尼亚和黑塞哥维那,78,0.03%
90,多米尼加共和国,78,0.03%
91,黎巴嫩,76,0.03%
92,柬埔寨,76,0.03%
93,巴拿马,67,0.02%
94,伊拉克,65,0.02%
95,缅甸,63,0.02%
96,马达加斯加,57,0.02%
97,马拉维,55,0.02%
98,古巴,48,0.02%
99,约旦,44,0.01%
100,蒙古国,42,0.01%
101,阿尔巴尼亚,40,0.01%
102,北马其顿,40,0.01%
103,坦桑尼亚,38,0.01%
104,巴林,38,0.01%
105,吉尔吉斯斯坦,36,0.01%
106,巴拉圭,34,0.01%
107,卡塔尔,34,0.01%
108,萨尔瓦多,32,0.01%
109,玻利维亚,32,0.01%
110,津巴布韦,32,0.01%
111,危地马拉,32,0.01%
112,刚果民主共和国,30,0.01%
113,澳门,27,0.01%
114,老挝,27,0.01%
115,纳米比亚,27,0.01%
116,尼加拉瓜,27,0.01%
117,利比亚,23,0.01%
118,科索沃,23,0.01%
119,洪都拉斯,21,0.01%
120,也门,21,0.01%
121,卢旺达,21,0.01%
122,科威特,19,0.01%
123,阿曼,17,0.01%
124,叙利亚,15,0.00%
125,安哥拉,15,0.00%
126,苏丹,13,0.00%
127,赞比亚,13,0.00%
128,塞内加尔,11,0.00%
129,科特迪瓦,11,0.00%
130,莫桑比克,11,0.00%
131,朝鲜,8,0.00%
132,文莱,8,0.00%
133,塔吉克斯坦,8,0.00%
134,土库曼斯坦,8,0.00%
135,巴勒斯坦,6,0.00%
136,巴布亚新几内亚,6,0.00%
137,阿富汗,2,0.00%
138,博茨瓦纳,2,0.00%
